msgSize,totalTime,reqSendTime,reqReceiveTime,reqTotalTime,resSendTime,resReceiveTime,resTotalTime
32,136,1663363577284,1663363577302,18,1663363577420,1663363577420,0
32,102,1663363577540,1663363577556,16,1663363577642,1663363577642,0
32,152,1663363577753,1663363577775,22,1663363577905,1663363577905,0
32,132,1663363578007,1663363578027,20,1663363578139,1663363578139,0
32,119,1663363578248,1663363578266,18,1663363578367,1663363578367,0
64,232,1663363578905,1663363578943,38,1663363579137,1663363579137,0
64,322,1663363579447,1663363579588,141,1663363579768,1663363579769,1
64,249,1663363579981,1663363580017,36,1663363580230,1663363580230,0
64,227,1663363580466,1663363580491,25,1663363580692,1663363580693,1
64,246,1663363580899,1663363580933,34,1663363581145,1663363581145,0
64,212,1663363581402,1663363581440,38,1663363581614,1663363581614,0
64,245,1663363581813,1663363581836,23,1663363582058,1663363582058,0
64,244,1663363582244,1663363582280,36,1663363582488,1663363582488,0
64,290,1663363582697,1663363582736,39,1663363582986,1663363582987,1
64,207,1663363583314,1663363583336,22,1663363583521,1663363583521,0
64,238,1663363583772,1663363583807,35,1663363584010,1663363584010,0
64,317,1663363584243,1663363584275,32,1663363584560,1663363584560,0
64,195,1663363584781,1663363584805,24,1663363584975,1663363584976,1
64,239,1663363585247,1663363585274,27,1663363585485,1663363585486,1
64,279,1663363585673,1663363585703,30,1663363585952,1663363585952,0
64,297,1663363586164,1663363586193,29,1663363586461,1663363586461,0
64,217,1663363586676,1663363586718,42,1663363586893,1663363586893,0
64,268,1663363587168,1663363587190,22,1663363587435,1663363587436,1
64,310,1663363587667,1663363587706,39,1663363587976,1663363587977,1
64,274,1663363588203,1663363588241,38,1663363588476,1663363588477,1
64,174,1663363588702,1663363588723,21,1663363588875,1663363588876,1
64,234,1663363589119,1663363589142,23,1663363589352,1663363589353,1
64,212,1663363589625,1663363589658,33,1663363589836,1663363589837,1
64,262,1663363590049,1663363590084,35,1663363590311,1663363590311,0
64,242,1663363590526,1663363590559,33,1663363590768,1663363590768,0
64,198,1663363591020,1663363591046,26,1663363591217,1663363591218,1
64,266,1663363591434,1663363591475,41,1663363591700,1663363591700,0
64,306,1663363591906,1663363591931,25,1663363592212,1663363592212,0
64,231,1663363592413,1663363592452,39,1663363592644,1663363592644,0
64,224,1663363592860,1663363592891,31,1663363593083,1663363593084,1
128,449,1663363594012,1663363594076,64,1663363594460,1663363594461,1
128,515,1663363594950,1663363595004,54,1663363595465,1663363595465,0
128,449,1663363595897,1663363595953,56,1663363596346,1663363596346,0
128,547,1663363596815,1663363596869,54,1663363597362,1663363597362,0
